#,Name,Start
M1,Cm (Im),1.1.00
M2,Fm (IVm),2.1.00
M3,Gm (Vm),3.1.00
M4,Gm (Vm),4.1.00
M5,Cm (Im),5.1.00
M6,Fm (IVm),6.1.00
M7,Gm (Vm),7.1.00
M8,Gm (Vm),8.1.00
M9,Cm (Im),9.1.00
M10,Fm (IVm),10.1.00
M11,Gm (Vm),11.1.00
M12,Gm (Vm),12.1.00
M13,Cm (Im),13.1.00
M14,Fm (IVm),14.1.00
M15,Gm (Vm),15.1.00
M16,Gm (Vm),16.1.00
M17,Cm (Im),17.1.00
M18,Ab (VIb),18.1.00
M19,Cm (Im),19.1.00
M20,Gm (Vm),20.1.00
M21,Cm (Im),21.1.00
M22,Ab (VIb),22.1.00
M23,Cm (Im),23.1.00
M24,Gm (Vm),24.1.00
M25,Cm (Im),25.1.00
M26,Fm (IVm),26.1.00
M27,Gm (Vm),27.1.00
M28,Gm (Vm),28.1.00
M29,Cm (Im),29.1.00
M30,Fm (IVm),30.1.00
M31,Gm (Vm),31.1.00
M32,Gm (Vm),32.1.00
M33,Cm (Im),33.1.00
M34,Ab (VIb),34.1.00
M35,Cm (Im),35.1.00
M36,Gm (Vm),36.1.00
M37,Cm (Im),37.1.00
M38,Ab (VIb),38.1.00
M39,Cm (Im),39.1.00
M40,Gm (Vm),40.1.00
M41,Cm (Im),41.1.00
M42,Gm (Vm),42.1.00
M43,Bb (VIIb),43.1.00
M44,Cm (Im),44.1.00
M45,Cm (Im),45.1.00
M46,Gm (Vm),46.1.00
M47,Bb (VIIb),47.1.00
M48,Cm (Im),48.1.00
M49,*Em (IIIm)-> (IIIb),49.1.00
M50,*Dm (IIm)->(IIº),50.1.00
M51,*Am (VIm)->(VIb),51.1.00
M52,Gm (Vm),52.1.00
M53,*Em (IIIm)-> (IIIb),53.1.00
M54,*Dm (IIm)->(IIº),54.1.00
M55,*Am (VIm)->(VIb),55.1.00
M56,Gm (Vm),56.1.00
M57,Cm (Im),57.1.00
M58,Ab (VIb),58.1.00
M59,Cm (Im),59.1.00
M60,Gm (Vm),60.1.00
M61,Cm (Im),61.1.00
M62,Ab (VIb),62.1.00
M63,Cm (Im),63.1.00
M64,Gm (Vm),64.1.00
M65,Cm (Im),65.1.00
M66,Fm (IVm),66.1.00
M67,Gm (Vm),67.1.00
M68,Gm (Vm),68.1.00
M69,Cm (Im),69.1.00
M70,Fm (IVm),70.1.00
M71,Gm (Vm),71.1.00
M72,Gm (Vm),72.1.00
M73,Cm (Im),73.1.00
M74,Ab (VIb),74.1.00
M75,Cm (Im),75.1.00
M76,Gm (Vm),76.1.00
M77,Cm (Im),77.1.00
M78,Ab (VIb),78.1.00
M79,Cm (Im),79.1.00
M80,Gm (Vm),80.1.00
M81,Cm (Im),81.1.00
M82,Ab (VIb),82.1.00
M83,Cm (Im),83.1.00
M84,Gm (Vm),84.1.00
M85,Cm (Im),85.1.00
M86,Ab (VIb),86.1.00
M87,Cm (Im),87.1.00
M88,Gm (Vm),88.1.00
M89,Cm (Im),89.1.00
M90,Ab (VIb),90.1.00
M91,Cm (Im),91.1.00
M92,Gm (Vm),92.1.00
M93,Cm (Im),93.1.00
M94,Ab (VIb),94.1.00
M95,Cm (Im),95.1.00
M96,Gm (Vm),96.1.00
M97,Cm (Im),97.1.00
M98,Ab (VIb),98.1.00
M99,Cm (Im),99.1.00
M100,Gm (Vm),100.1.00
M101,Cm (Im),101.1.00
M102,Ab (VIb),102.1.00
M103,Cm (Im),103.1.00
M104,Gm (Vm),104.1.00
M105,Cm (Im),105.1.00
M106,Ab (VIb),106.1.00
M107,Cm (Im),107.1.00
M108,Gm (Vm),108.1.00
M109,Cm (Im),109.1.00
